"Triplet 1","Triplet 2","Label"
"Liquidity Crisis,occurs when,There is a Shortage of Cash","Liquidity Crisis,can lead to,Bank Runs","1"
"Capital Expenditure,spending on,Long-term Assets","Operating Expenditure,spending on,Day-to-Day Operations","1"
"Angel Investment,early-stage,Funding for Startups","Venture Capital,focuses on,High-risk,High-return Investments","1"
"Market Saturation,occurs when,Product Supply Exceeds Demand","Market Saturation,leads to,Reduced Profit Margins","1"
"Net Income,measures,Profitability","Gross Income,measures,Total Revenue before Deductions","1"
"Franchise,allows,Operating under a Bigger Brand","Franchise,requires,Initial Franchise Fee","1"
"Microeconomic Theory,studies,Individual Economic Units","Macroeconomic Theory,studies,Economy as a Whole","1"
"Business Ethics,involves,Moral Principles in Business","Corporate Social Responsibility,involves,Business's Role in Society","1"
"Income Statement,different from,Balance Sheet","Income Statement,shows,Profit and Loss","0"
"Credit Crunch,different from,Economic Boom","Credit Crunch,characterized by,Limited Access to Loans","0"
"Stock Options,different from,Corporate Bonds","Stock Options,granted to,Employees as Incentive","0"
"Commodities Market,different from,Stock Market","Commodities Market,trades in,Physical Goods","0"
"Import Quotas,different from,Export Subsidies","Import Quotas,limit,Quantity of Imports","0"
"Deflation,different from,Inflation","Deflation,characterized by,Decreasing Prices","0"
"Fixed Costs,different from,Variable Costs","Fixed Costs,do not change with,Production Volume","0"
"Market Oligopoly,different from,Perfect Competition","Market Oligopoly,few firms,Dominate the Market","0"
"Bond Yield,different from,Stock Dividend","Bond Yield,return on,Investment in Bonds","0"
"Credit Union,different from,Investment Bank","Credit Union,serves,Members","0"
"Fiscal Deficit,different from,Trade Surplus","Fiscal Deficit,when government's,Expenditures Exceed Revenues","0"
"Consumer Goods,different from,Capital Goods","Consumer Goods,intended for,End-User Consumption","0"
"Foreign Investment,different from,Domestic Investment","Foreign Investment,involves,Capital from Another Country","0"
"Monetary Inflation,different from,Asset Inflation","Monetary Inflation,increase in,Money Supply","0"
"Risk Management,different from,Profit Maximization","Risk Management,focuses on,Identifying and Managing Risks","0"
"Hyperinflation,results in,Currency Devaluation","Hyperinflation,often caused by,Excessive Money Printing","1"
"Lean Manufacturing,reduces,Waste in Production","Lean Manufacturing,originated from,Toyota Production System","1"
"Blue Chip Stocks,known for,Stability and Reliability","Blue Chip Stocks,include,Large,Well-established Companies","1"
"Marginal Cost,cost of,Producing One More Unit","Marginal Benefit,benefit of,Consuming One More Unit","1"
"Sustainable Development,aims for,Economic Growth with Environmental Protection","Sustainable Development,promoted by,United Nations","1"
"Exchange Rate,value of,One Currency in Terms of Another","Floating Exchange Rate,determined by,Market Forces","1"
"Economic Diversification,reduces,Dependence on Single Industry","Economic Diversification,important for,Long-term Growth","1"
"Liquidity Crisis,occurs when,There is a Shortage of Cash","Liquidity Crisis,can lead to,Bank Runs","1"
"Capital Expenditure,spending on,Long-term Assets","Operating Expenditure,spending on,Day-to-Day Operations","1"
"Angel Investment,early-stage,Funding for Startups","Venture Capital,focuses on,High-risk,High-return Investments","1"
"Market Saturation,occurs when,Product Supply Exceeds Demand","Market Saturation,leads to,Reduced Profit Margins","1"
"Net Income,measures,Profitability","Gross Income,measures,Total Revenue before Deductions","1"
"Franchise,allows,Operating under a Bigger Brand","Franchise,requires,Initial Franchise Fee","1"
"Microeconomic Theory,studies,Individual Economic Units","Macroeconomic Theory,studies,Economy as a Whole","1"
"Business Ethics,involves,Moral Principles in Business","Corporate Social Responsibility,involves,Business's Role in Society","1"
"Income Statement,different from,Balance Sheet","Income Statement,shows,Profit and Loss","0"
"Credit Crunch,different from,Economic Boom","Credit Crunch,characterized by,Limited Access to Loans","0"
"Stock Options,different from,Corporate Bonds","Stock Options,granted to,Employees as Incentive","0"
"Commodities Market,different from,Stock Market","Commodities Market,trades in,Physical Goods","0"
"Import Quotas,different from,Export Subsidies","Import Quotas,limit,Quantity of Imports","0"
"Deflation,different from,Inflation","Deflation,characterized by,Decreasing Prices","0"
"Fixed Costs,different from,Variable Costs","Fixed Costs,do not change with,Production Volume","0"
"Market Oligopoly,different from,Perfect Competition","Market Oligopoly,few firms,Dominate the Market","0"
"Bond Yield,different from,Stock Dividend","Bond Yield,return on,Investment in Bonds","0"
"Credit Union,different from,Investment Bank","Credit Union,serves,Members","0"
"Fiscal Deficit,different from,Trade Surplus","Fiscal Deficit,when government's,Expenditures Exceed Revenues","0"
"Consumer Goods,different from,Capital Goods","Consumer Goods,intended for,End-User Consumption","0"
"Foreign Investment,different from,Domestic Investment","Foreign Investment,involves,Capital from Another Country","0"
"Monetary Inflation,different from,Asset Inflation","Monetary Inflation,increase in,Money Supply","0"
"Risk Management,different from,Profit Maximization","Risk Management,focuses on,Identifying and Managing Risks","0"
"Global Warming,caused by,Greenhouse Gases","Climate Change,caused by,Carbon Emissions","1"
"Apple Inc.,CEO,Tim Cook","Apple,Chief Executive Officer,Tim Cook","1"
"World War II,ended in,1945","Second World War,conclusion year,1945","1"
"Photosynthesis,process in,Plants","Photosynthesis,occurs in,Green Plants","1"
"Albert Einstein,developed,Theory of Relativity","Einstein,formulated,Relativity Theory","1"
"Bitcoin,first appeared in,2009","Bitcoin,introduction year,2009","1"
"Mount Everest,world's highest mountain,Earth","Everest,highest peak on,Earth","1"
"William Shakespeare,wrote,Hamlet","Shakespeare,author of,Hamlet","1"
"Great Depression,started in,1929","Economic Depression of 1929,beginning year,1929","1"
"Jupiter,largest planet,Solar System","Jupiter,biggest planet in,Solar System","1"
"Light travels,fastest in,Vacuum","Speed of light,greatest in,Vacuum","1"
"Barack Obama,served as,44th U.S. President","Obama,44th President of,United States","1"
"Photosynthesis,produces,Oxygen","Photosynthesis,results in,Oxygen Creation","1"
"Stock Market Crash of 1929,led to,Great Depression","1929 Stock Market Collapse,caused,Economic Depression","1"
"Human heart,has,4 chambers","Heart in humans,chamber count,Four","1"
"The Beatles,genre,Rock Music","Beatles,music style,Rock","1"
"COVID-19,caused by,SARS-CoV-2 Virus","Coronavirus Disease 2019,pathogen,SARS-CoV-2","1"
"Amazon River,longest river,South America","River Amazon,length rank in,South America","1"
"Pythagoras,known for,Pythagorean Theorem","Pythagoras,discovery of,Pythagoras' Principle","1"
"Leonardo da Vinci,painted,Mona Lisa","Da Vinci,artist of,Mona Lisa","1"
"Microsoft,founded by,Bill Gates","Microsoft Corporation,founder,Bill Gates","0"
"Thomas Edison,invented,Lightbulb","Alexander Graham Bell,invented,Telephone","0"
"COVID-19,pandemic start,2019","Spanish Flu,pandemic start,1918","0"
"Apple,founded in,1976","Google,founded in,1998","0"
"Amazon,CEO,Jeff Bezos","Tesla,CEO,Elon Musk","0"
"Facebook,rebranded to,Meta","Google,rebranded to,Alphabet","0"
"Twitter,founded by,Jack Dorsey","LinkedIn,founded by,Reid Hoffman","0"
"J.K. Rowling,wrote,Harry Potter series","George R.R. Martin,wrote,A Song of Ice and Fire","0"
"Human Genome Project,completed in,2003","Manhattan Project,completed in,1945","0"
"United Nations,established in,1945","European Union,established in,1993","0"
"Artificial Intelligence,synonymous with,AI","Machine Learning,part of,Artificial Intelligence","0"
"Global Warming,same as,Climate Change","Greenhouse Effect,contributes to,Global Warming","1"
"COVID-19,caused by,SARS-CoV-2","Ebola,caused by,Ebola Virus","0"
"Quantum Mechanics,equivalent to,Quantum Physics","Relativity,formulated by,Einstein","1"
"Bitcoin,also known as,BTC","Ethereum,also known as,ETH","0"
"Photosynthesis,process in,Plants","Cellular Respiration,process in,Animals","0"
"Stock Market,same as,Equity Market","Bond Market,also known as,Debt Market","1"
"USA,United States of America","UK,United Kingdom","0"
"Apple Inc.,also referred to as,Apple","Microsoft,also known as,MSFT","0"
"Psychology,study of,Mind","Sociology,study of,Society","0"
"Economics,same as,Economic Science","Finance,related to,Money Management","1"
"Olympics,referred to as,Olympic Games","Paralympics,for,Athletes with Disabilities","0"
"New York,often called,Big Apple","Los Angeles,known as,City of Angels","0"
"Diabetes,a type of,Metabolic Disorder","Cancer,a type of,Oncological Disease","0"
"Electric Car,same as,Electric Vehicle","Hybrid Car,combines,Electric and Gasoline Power","1"
"Renewable Energy,includes,Solar Power","Non-renewable Energy,includes,Fossil Fuels","0"
"Machine Learning,subset of,AI","Deep Learning,subset of,Machine Learning","0"
"Tesla,founded by,Elon Musk","SpaceX,founded by,Elon Musk","0"
"Photosynthesis,produces,Oxygen","Respiration,consumes,Oxygen","0"
"Water,chemical formula,H2O","Carbon Dioxide,chemical formula,CO2","0"
"COVID-19,pandemic in,2020","Spanish Flu,pandemic in,1918","0"
"Psychology,involves,Mental Processes","Psychiatry,involves,Mental Disorders","0"
"The Sun,a type of,Star","The Moon,a type of,Satellite","0"
"Artificial Intelligence,AI,Field of Computer Science","Virtual Reality,VR,Field of Computer Graphics","0"
"Climate Change,results in,Global Warming","Deforestation,leads to,Loss of Biodiversity","0"
"World War II,also known as,Second World War","Cold War,period of,Political Tension","1"
"Jupiter,largest planet in,Solar System","Mars,fourth planet in,Solar System","0"
"Recycling,process of,Waste Management","Composting,process of,Organic Waste Conversion","0"
"Globalization,leads to,Worldwide Integration","Isolationism,leads to,National Separation","0"
"United Nations,known as,UN","European Union,known as,EU","0"
"Global Warming,caused by,Greenhouse Gases","Climate Change,result of,Greenhouse Gases","1"
"Quantum Mechanics,study of,Particle Physics","Quantum Physics,field of,Subatomic Particles","1"
"Artificial Intelligence,field of,Computer Science","Machine Learning,subset of,Artificial Intelligence","1"
"Photosynthesis,process in,Plants","Photosynthesis,produces,Oxygen","1"
"Black Hole,region in,Space","Black Hole,defined by,Event Horizon","1"
"Evolution,theory by,Charles Darwin","Natural Selection,part of,Evolution Theory","1"
"Big Bang Theory,describes,Universe's Origin","Cosmic Inflation,aspect of,Big Bang Theory","1"
"Diabetes,chronic condition,Blood Sugar Levels","Type 2 Diabetes,caused by,Insulin Resistance","1"
"General Relativity,theory by,Albert Einstein","Space-Time Continuum,concept in,General Relativity","1"
"Renewable Energy,includes,Solar and Wind Power","Green Energy,alternative to,Fossil Fuels","1"
"Periodic Table,organizes,Chemical Elements","Mendeleev's Table,early version of,Periodic Table","1"
"Human Genome Project,mapped,Human DNA","Genomics,study of,Genomes","1"
"Vaccination,method of,Disease Prevention","Immunization,process of,Building Immunity","1"
"Water Cycle,involves,Evaporation and Precipitation","Hydrologic Cycle,another term for,Water Cycle","1"
"Artificial Intelligence,involves,Intelligent Agents","AI,acronym for,Artificial Intelligence","1"
"Light Speed,constant in,Physics","Speed of Light,measured in,Vacuum","1"
"Plate Tectonics,theory in,Earth Science","Continental Drift,aspect of,Plate Tectonics","1"
"Gene Editing,achieved by,CRISPR Technology","Genome Editing,method of,Altering DNA","1"
"Sustainable Development,aims for,Environmental Protection","Eco-friendly Practices,part of,Sustainability","1"
"Periodic Table,created by,Dmitri Mendeleev","Elementary Table,another name for,Periodic Table","1"
"Electric Car,powered by,Batteries","EV,abbreviation for,Electric Vehicle","1"
"Global Positioning System,known as,GPS","Satellite Navigation,provided by,GPS","1"
"Virtual Reality,immersive,Digital Experience","VR,acronym for,Virtual Reality","1"
"Internet of Things,network of,Connected Devices","IoT,abbreviation for,Internet of Things","1"
"Quantum Computing,uses,Quantum Bits","Qubits,fundamental unit in,Quantum Computing","1"
"Blockchain Technology,underlies,Cryptocurrencies","Distributed Ledger,key feature of,Blockchain","1"
"Photosynthesis,converts,Carbon Dioxide to Oxygen","Chlorophyll,essential for,Photosynthesis","1"
"Genetic Engineering,involves,DNA Modification","Biotechnology,utilizes,Genetic Engineering","1"
"Machine Learning,type of,Data Analysis","Predictive Modeling,application of,Machine Learning","1"
"Antibiotics,treat,Bacterial Infections","Penicillin,first discovered,Antibiotic","1"
"Global Warming,also known as,Climate Change","Global Warming,results in,Rising Temperatures","1"
"COVID-19,caused by,SARS-CoV-2","COVID-19,pandemic started in,2019","1"
"Artificial Intelligence,field of,Computer Science","Machine Learning,subset of,Artificial Intelligence","1"
"Quantum Mechanics,branch of,Physics","Quantum Physics,studies,Subatomic Particles","1"
"The Great Depression,occurred in,1930s","The Great Depression,led to,Economic Downturn","1"
"Photosynthesis,produces,Oxygen","Photosynthesis,occurs in,Plants","1"
"Big Bang Theory,explains,Universe's Origin","Big Bang,initial expansion of,Universe","1"
"Albert Einstein,developed,Theory of Relativity","E=mc^2,equation by,Albert Einstein","1"
"Steve Jobs,co-founder of,Apple","Steve Wozniak,co-founder of,Apple","1"
"Renewable Energy,includes,Solar and Wind Power","Fossil Fuels,includes,Coal and Oil","0"
"DNA,contains,Genetic Information","RNA,involved in,Protein Synthesis","0"
"Black Hole,region of,Intense Gravity","Supernova,massive,Star Explosion","0"
"Electric Cars,powered by,Batteries","Internal Combustion Engines,powered by,Gasoline","0"
"William Shakespeare,wrote,Hamlet","Charles Dickens,wrote,A Tale of Two Cities","0"
"Mount Everest,highest mountain,Earth","Mariana Trench,deepest ocean trench,Earth","0"
"Leonardo da Vinci,painted,Mona Lisa","Michelangelo,painted,Sistine Chapel Ceiling","0"
"United Nations,international organization,Peace and Security","NATO,military alliance,North Atlantic Treaty Organization","0"
"Light Speed,fastest speed,Universe","Sound Speed,varies,Medium","0"
"Theory of Evolution,proposed by,Charles Darwin","Laws of Motion,formulated by,Isaac Newton","0"
"Democracy,government by,The People","Dictatorship,government by,One Individual","0"
"Photosynthesis,biological process,Energy Conversion","Cellular Respiration,biological process,Energy Release","0"
"Stock Exchange,financial market,Trading Stocks","Foreign Exchange Market,financial market,Trading Currencies","0"
"Hydrogen,lightest element,Periodic Table","Uranium,heaviest natural element,Periodic Table","0"
"Earthquake,caused by,Tectonic Plate Movement","Volcano,caused by,Magma Eruption","0"
"Solar System,includes,Earth and Mars","Milky Way Galaxy,includes,Solar System","0"
"Psychology,study of,Human Mind","Sociology,study of,Human Society","0"
"Statue of Liberty,symbol of,Freedom","Eiffel Tower,symbol of,Paris","0"
"Vaccine,prevents,Infectious Diseases","Antibiotic,treats,Bacterial Infections","0"
"Periodic Table,organizes,Chemical Elements","Phylogenetic Tree,organizes,Biological Species","0"
"Bitcoin,digital currency,Cryptocurrency","US Dollar,physical currency,Fiat Money","0"
"Photosynthesis,process in,Green Plants","Photosynthesis,produces,Oxygen","1"
"Evaporation,part of,Water Cycle","Evaporation,turns,Liquid into Vapor","1"
"World War II,ended in,1945","Second World War,concluded in,1945","1"
"Global Warming,caused by,Greenhouse Gases","Climate Change,result of,Greenhouse Gas Emissions","1"
"Hurricane,type of,Tropical Cyclone","Hurricane,characterized by,High Winds","1"
"Albert Einstein,developed,Theory of Relativity","Einstein,famous for,E=mc²","1"
"Light Year,measures,Astronomical Distances","Light Year,distance,Light Travels in a Year","1"
"Vitamin C,found in,Citrus Fruits","Ascorbic Acid,another name for,Vitamin C","1"
"Pythagoras,known for,Pythagorean Theorem","Pythagorean Theorem,involves,Right-angled Triangles","1"
"Great Depression,occurred in,1930s","Great Depression,marked by,Economic Downturn","1"
"Artificial Intelligence,field of,Computer Science","AI,involves,Machine Learning","1"
"Black Holes,region,Intense Gravitational Pull","Black Holes,not visible,Absorbs Light","1"
"DNA,contains,Genetic Information","Deoxyribonucleic Acid,full name for,DNA","1"
"Plate Tectonics,explains,Continental Movement","Plate Tectonics,involves,Earth's Lithosphere","1"
"Photosynthesis,utilizes,Sunlight","Photosynthesis,converts,Light Energy to Chemical Energy","1"
"Thomas Edison,invented,Light Bulb","Edison,credited with,Electric Light Invention","1"
"Mount Everest,highest mountain,Earth","Everest,peaks at,8848 meters","1"
"Jupiter,largest planet,Solar System","Jupiter,known for,Great Red Spot","1"
"Oxygen,element number,8","Oxygen,symbol,O","1"
"Amazon Rainforest,known as,Lungs of the Earth","Amazon,largest rainforest,World","1"
"Solar Power,generated from,Sun","Solar Energy,involves,Photovoltaic Cells","1"
"Leonardo da Vinci,painted,Mona Lisa","Da Vinci,artist of,La Gioconda","1"
"New York,nicknamed,Big Apple","New York City,home to,Statue of Liberty","1"
"Statue of Liberty,located in,New York","Liberty Statue,gift from,France","1"
"Quantum Mechanics,studies,Subatomic Particles","Quantum Physics,deals with,Quantum Theory","1"
"Shakespeare,wrote,Romeo and Juliet","William Shakespeare,author of,Hamlet","1"
"Renewable Energy,includes,Wind Power","Green Energy,sustainable,Energy Sources","1"
"United Nations,promotes,Global Peace","UN,formed in,1945","1"
"French Revolution,began in,1789","Revolution in France,led to,Fall of Bastille","1"
"Diabetes,characterized by,High Blood Sugar","Diabetes Mellitus,results in,Insulin Issues","1"
"Water,chemical formula,H2O","H2O,commonly known as,Water","1"
"Human Brain,responsible for,Cognition","Brain,organ for,Thought and Memory","1"
"Earth,third planet,Solar System","Earth,orbits,Sun","1"
"Great Wall of China,built for,Defense","Chinese Great Wall,ancient,Fortification","1"
"Photosynthesis,occurs in,Chloroplasts","Chloroplasts,site of,Photosynthesis in Plants","1"
"Titanic,sank in,1912","RMS Titanic,infamous,Shipwreck","1"
"Beethoven,composed,Symphony No. 9","Ludwig van Beethoven,creator of,Ode to Joy","1"
"Human Heart,pumps,Blood","Heart,vital,Organ","1"
"Big Bang Theory,explains,Universe Origin","Big Bang,start of,Cosmos","1"
"The Sun,center of,Solar System","Sun,provides,Earth's Light and Heat","1"
"Bitcoin,digital,Currency","Bitcoin,created by,Satoshi Nakamoto","1"
"Apple Inc.,CEO,Tim Cook","Apple,Chief Executive Officer,Tim Cook","1"
"World War II,ended in,1945","Second World War,conclusion year,1945","1"
"COVID-19,caused by,SARS-CoV-2","Coronavirus Disease,virus,SARS-CoV-2","1"
"Photosynthesis,occurs in,Plants","Photosynthesis,process in,Green Plants","1"
"The Moon,orbits,Earth","Earth's Moon,satellite of,Earth","1"
"Eiffel Tower,located in,Paris","Eiffel Tower,in,French Capital","1"
"Great Barrier Reef,located off,Australia","Great Barrier Reef,near,Australian Coast","1"
"Microsoft,co-founder,Bill Gates","Microsoft,founded by,William Gates","1"
"Amazon River,longest in,South America","Amazon River,major river,South America","1"
"Lightbulb,invented by,Thomas Edison","Incandescent Lamp,creator,Thomas Edison","1"
"Barack Obama,44th president,United States","Obama,forty-fourth president,USA","1"
"Mount Everest,highest mountain,Earth","Mount Everest,tallest peak,World","1"
"Bitcoin,digital currency,Cryptocurrency","Bitcoin,form of,Digital Money","1"
"Leonardo da Vinci,painted,Mona Lisa","Da Vinci,artist of,Mona Lisa","1"
"Isaac Newton,formulated,Laws of Motion","Newton,developed,Principles of Motion","1"
"Shakespeare,wrote,Romeo and Juliet","William Shakespeare,author,Romeo and Juliet","1"
"The Beatles,genre,Rock Music","The Beatles,music style,Rock","1"
"United Nations,headquarters,New York","UN,central office,New York City","1"
"Global Warming,caused by,Greenhouse Gases","Climate Change,result of,Greenhouse Emissions","1"
"The Sun,center of,Solar System","Sun,core of,Solar System","1"
"Albert Einstein,theory,Relativity","Einstein,known for,Relativity Theory","1"
"Tesla,electric cars,Automobile Company","Tesla,maker of,Electric Vehicles","1"
"Pythagorean Theorem,in,Mathematics","Pythagoras' Theorem,field,Math","1"
"Facebook,founded by,Mark Zuckerberg","Facebook,creator,Zuckerberg","1"
"Jupiter,largest planet,Solar System","Jupiter,biggest planet,Solar System","1"
"DNA,discovered by,Watson and Crick","DNA structure,identified by,Crick and Watson","1"
"Statue of Liberty,gift from,France","Statue of Liberty,presented by,French","1"
"Twitter,social media platform,Microblogging","Twitter,service for,Short Posts","1"
"Water,chemical formula,H2O","H2O,molecular formula,Water","1"
"Olympics,held every,4 years","Olympic Games,interval,Four Years","1"
"Light travels,fastest in,Vacuum","Speed of light,greatest in,Vacuum","0"
"Human heart,has,4 chambers","Human lungs,has,2 lobes","0"
"Julius Caesar,assassinated in,44 BC","Abraham Lincoln,assassinated in,1865","0"
"Photosynthesis,produces,Oxygen","Respiration,consumes,Oxygen","0"
"Pyramids of Giza,in,Egypt","Machu Picchu,in,Peru","0"
"Beethoven,composed,Symphony No. 5","Mozart,composed,Symphony No. 40","0"
"Leonardo da Vinci,painted,Mona Lisa","Vincent van Gogh,painted,Starry Night","0"
"Albert Einstein,born in,Germany","Nikola Tesla,born in,Croatia","0"
"DNA,discovered by,Watson and Crick","Penicillin,discovered by,Alexander Fleming","0"
"Newton,discovered,Gravity","Einstein,theory of,Relativity","0"
"S&P 500,type of,Stock Index","Standard & Poor's 500,variety of,Market Index","1"
"Warren Buffett,CEO of,Berkshire Hathaway","Buffett,head of,Berkshire Hathaway","1"
"NASDAQ,stands for,National Association of Securities Dealers Automated Quotations","NASDAQ,full name,National Association of Securities Dealers Automated Quotations","1"
"Renminbi,currency of,China","Yuan,official currency,People's Republic of China","1"
"Marginal Cost,in,Economics","Incremental Cost,another term for,Marginal Cost","1"
"Blue Chip Stocks,characterized by,Stability and Reliability","Blue Chip Stocks,known for,Safe Investment","1"
"Elon Musk,founder of,SpaceX","Musk,established,Space Exploration Technologies Corp","1"
"Gold,measured in,Troy Ounces","Gold,unit of weight,Troy Ounce","1"
"Brexit,refers to,UK leaving the EU","Brexit,short for,British Exit","1"
"Franchise Model,involves,Licensing of Brand","Franchising,method of,Expanding Business","1"
"Moody's,provides,Credit Ratings","Moody's Corporation,known for,Rating Services","1"
"Quantitative Easing,type of,Monetary Policy","Quantitative Easing,involves,Central Bank Buying Assets","1"
"Subprime Mortgage,type of,Loan","Subprime Lending,refers to,High-Risk Loans","1"
"Silk Road,ancient trade route,Asia to Europe","Silk Route,historical network of,Trade Paths","1"
"NASDAQ,heavily weighted towards,Technology Stocks","NASDAQ,dominated by,Tech Sector","1"
"Forensic Accounting,used for,Investigating Financial Fraud","Forensic Accountancy,field for,Financial Investigation","1"
"Lean Manufacturing,aims to,Minimize Waste","Lean Production,focuses on,Efficiency","1"
"Angel Investor,provides,Funding for Startups","Angel Funder,invests in,Early-stage Companies","1"
"Monetary Inflation,results in,Decreased Currency Value","Inflation,leads to,Reduced Purchasing Power","1"
"Libor,stands for,London Interbank Offered Rate","Libor,rate offered,London Banks","1"
"Steve Jobs,co-founder of,Apple Inc.","Jobs,helped establish,Apple","1"
"Corporate Espionage,involves,Stealing Trade Secrets","Industrial Espionage,act of,Acquiring Confidential Information","1"
"Venture Capital,seeks,High Growth Companies","Venture Capitalists,invest in,Rapidly Growing Businesses","1"
"Jeff Bezos,founder of,Amazon","Bezos,started,Amazon.com","1"
"Corporate Social Responsibility,pertains to,Ethical Business Practices","CSR,involves,Responsible Corporate Behavior","1"
"Fair Trade,promotes,Ethical Standards in Commerce","Fair Trade,ensures,Equitable Business Practices","1"
"Mark Zuckerberg,created,Facebook","Zuckerberg,founder of,Facebook Inc.","1"
"Enron Scandal,example of,Corporate Fraud","Enron Collapse,case of,Business Corruption","1"
"Sustainable Development,aims at,Balancing Economic Growth with Environmental Protection","Sustainable Development,seeks,Economic Progress and Ecological Balance","1"
"Hedge Fund,pools,Capital from Accredited Investors","Hedge Funds,invest,Wealthy Individuals' Money","1"
"Artificial Intelligence,field of,Computer Science","Machine Learning,part of,Artificial Intelligence","0"
"Federal Reserve,controls,US Monetary Policy","European Central Bank,manages,Eurozone Monetary Policy","0"
"Bitcoin,created by,Satoshi Nakamoto","Ethereum,developed by,Vitalik Buterin","0"
"Unemployment Rate,measure of,Labor Market","Inflation Rate,measure of,Economy's Health","0"
"Wall Street,center of,Financial Industry","Silicon Valley,hub for,Tech Industry","0"
"Biotechnology,applies,Genetic Engineering","Civil Engineering,involves,Infrastructure Design","0"
"International Monetary Fund,provides,Financial Assistance","World Health Organization,provides,Global Health Solutions","0"
"Climate Change,caused by,Greenhouse Gases","Deforestation,caused by,Logging and Agriculture","0"
"Globalization,leads to,International Integration","Nationalism,promotes,National Interests","0"
"Warren Buffet,CEO,Berkshire Hathaway","Buffet,head of,Berkshire Hathaway","1"
"NASDAQ Composite,tracks,Tech Stocks","NASDAQ,index for,Technology Companies","1"
"Enron Scandal,occurred in,2001","Enron,corporate fraud,Early 2000s","1"
"Forex Market,involves,Currency Exchange","Foreign Exchange,trading of,Global Currencies","1"
"Hedge Fund,investment vehicle,High Net Worth Individuals","Hedge Funds,managed by,Hedge Fund Managers","1"
"Margaret Thatcher,policy,Thatcherism","Thatcher,known for,Neoliberal Policies","1"
"Moody's,provides,Credit Ratings","Moody's,credit rating service,Financial Sector","1"
"Subprime Mortgage Crisis,led to,2008 Financial Crisis","Housing Bubble Burst,caused,2008 Economic Crash","1"
"Quantitative Easing,implemented by,Central Banks","QE,monetary policy,Economic Stimulus","1"
"Adam Smith,book,The Wealth of Nations","Smith's The Wealth of Nations,foundation,Modern Economics","1"
"Venture Capital,financing,Startups","VC Funds,invest in,Early Stage Companies","1"
"Jack Ma,founded,Alibaba Group","Ma Yun,creator of,Alibaba","1"
"PayPal,digital payment,Online Transactions","PayPal,facilitates,Internet Payments","1"
"Wall Street,symbolizes,American Financial Sector","Wall Street,location of,NY Stock Exchange","1"
"Jeff Bezos,founded,Amazon","Bezos,started,Online Retail Giant","1"
"Credit Crunch,led to,Global Financial Crisis","2008 Crisis,marked by,Credit Shortage","1"
"Tesla,known for,Electric Cars","Tesla Motors,electric vehicle,Automotive Innovation","1"
"Gold Standard,monetary system,Fixed Exchange Rates","Gold Standard,basis for,Currency Valuation","1"
"OPEC,regulates,Oil Prices","Organization of Petroleum Exporting Countries,controls,Crude Oil","1"
"Silicon Valley,hub of,Tech Innovation","Silicon Valley,center for,High-Tech Industry","1"
"Apple,released,iPhone","iPhone,smartphone by,Apple Inc.","1"
"Brexit,UK's exit,European Union","Brexit,Britain leaving,EU","1"
"Google,developed,Android OS","Android,mobile operating system,by Google","1"
"Mark Zuckerberg,CEO,Meta Platforms","Zuckerberg,head of,Facebook's Parent Company","1"
"Elon Musk,CEO,SpaceX","Musk,founder of,Space Exploration Company","1"
"Artificial Intelligence,field of,Computer Science","AI,involves,Intelligent Machines","0"
"Quantum Computing,field of,Advanced Computing","Classical Computing,based on,Binary Systems","0"
"Renewable Energy,includes,Solar Power","Fossil Fuels,includes,Coal and Oil","0"
"Machine Learning,subset of,AI","Robotics,involves,Automated Machines","0"
"Cloud Computing,offers,Remote Services","Data Centers,house,Computing Infrastructure","0"
"PepsiCo,CEO,Ramon Laguarta","PepsiCo,Chief Executive,Laguarta","1"
"Warren Buffett,CEO,Berkshire Hathaway","Buffett,leads,Berkshire Hathaway","1"
"Alibaba Group,founded by,Jack Ma","Alibaba,Jack Ma's creation,E-commerce","1"
"NASDAQ,first electronic exchange,Stock Market","NASDAQ,digital stock market,Trading Platform","1"
"General Motors,bankruptcy in,2009","GM,filed for bankruptcy,2009","1"
"Enron Scandal,in,2001","Enron,major accounting fraud,Early 2000s","1"
"Jeff Bezos,founded,Blue Origin","Blue Origin,Bezos' space company,Aerospace","1"
"Saudi Aramco,world's most profitable company,Oil","Aramco,highest earnings,Global Oil","1"
"Volkswagen Emissions Scandal,broke in,2015","Dieselgate,Volkswagen scandal,2015","1"
"Subprime Mortgage Crisis,triggered,2008 Financial Crash","2008 Crisis,result of,Subprime Lending","1"
"Tesla,surpassed Toyota,Market Value","Tesla,most valuable automaker,2020","1"
"Foxconn,largest electronics manufacturer,Apple Supplier","Foxconn,assembles,iPhones","1"
"OPEC,controls major part,Oil Supply","OPEC,Oil Exporting Countries,Market Influence","1"
"Credit Rating,evaluates,Financial Trustworthiness","Credit Score,assesses,Creditworthiness","1"
"Blue Chip Stocks,symbolize,Stable Companies","Blue Chip Shares,represent,Reliable Companies","1"
"Fiscal Policy,involves,Government Spending","Fiscal Measures,relates to,Government Expenditure","1"
"Silicon Valley,hub for,Tech Startups","Silicon Valley,center of,Technology Innovation","1"
"Marginal Cost,in Economics,Additional Cost of Producing One More Unit","Marginal Expense,in Business,Cost of Producing an Extra Unit","1"
"NASDAQ,deals with,Tech Stocks","NASDAQ,market for,Technology Shares","1"
